Bat_ID	bat_name	video_ID	trial_name	trial_name_2	primary_stim	first_stim	trial_number	sm_tw_trial	md_tw_trial	lg_tw_trial	all_tw_trial	total_tw	Orienting_trial	Flying_trial	Approach_trial	Grooming_trial	Landing_trial	Yawning_trial	set_num	sm_tw_set	md_tw_set	lg_tw_set	all_tw_set	Orienting_set
Bat13	Paris	M2U02351	rra_rt_rra	rra_rt_rra	Rra	Rra	2	25	0	3	28	402	2	0	0	0	0	0	1	13	0	0	13	0
Bat14	Captain_Isaac	M2U02363	rra_rt_rra	rra_rt_rra	Rra	Rra	3	25	0	27	52	363	1	1	0	0	0	10	1	2	0	7	9	0
Bat15	Captain_Henry_Morgan	M2U02374	rra_rt_rra	rra_rt_rra	Rra	Rra	4	18	0	0	18	301	2	0	0	0	0	0	1	9	0	0	9	1
Bat16	Blackbeard	M2U02396	rra_rt_rra	rra_rt_rra	Rra	Rra	5	2	0	0	2	21	0	0	0	0	0	0	1	1	0	0	1	0
Bat17	Boba_Bat	M2U02406	rra_rt_rra	rra_rt_rra	Rra	Rra	3	5	4	5	14	56	5	0	0	2	0	0	1	0	0	4	4	1
Bat18	Duke	M2U02425	rra_rt_rra	rra_rt_rra	Rra	Rra	6	5	0	2	7	152	1	0	0	0	0	0	1	0	0	1	1	0
Bat19	Sir_Frances_Drake	M2U02439	rra_rt_rra	rra_rt_rra	Rra	Rra	8	3	0	11	14	193	3	0	0	0	0	6	1	2	0	4	6	2
Bat2	Jesper	M2U02192	rra_rt_rra	rra_rt_rra	Rra	Rra	9	10	0	0	10	247	1	0	0	0	0	0	1	2	0	0	2	1
Bat9	Florecito	M2U02282	rra_rt_rra	rra_rt_rra	Rra	Rra	3	15	4	0	19	329	4	4	0	1	0	0	1	6	4	0	10	1
Bat10	Insor	M2U02307	rt_rra_rt	rt_rra_rt	Rt	Rt	1	9	7	0	16	94	0	0	0	0	0	0	1	3	0	0	3	0
Bat11	Linus	M2U02319	rt_rra_rt	rt_rra_rt	Rt	Rt	2	24	1	12	37	332	13	0	0	3	0	0	1	3	0	5	8	3
Bat12	Vila	M2U02337	rt_rra_rt	rt_rra_rt	Rt	Rt	2	10	13	0	23	235	0	0	0	0	0	0	1	0	0	0	0	0
Bat13	Paris	M2U02349	rt_rra_rt	rt_rra_rt	Rt	Rt	1	33	2	7	42	402	2	0	0	0	0	0	1	0	2	7	9	0
Bat14	Captain_Isaac	M2U02365	rt_rra_rt	rt_rra_rt	Rt	Rt	5	18	2	6	26	363	8	0	0	0	0	0	1	0	0	0	0	0
Bat15	Captain_Henry_Morgan	M2U02375	rt_rra_rt	rt_rra_rt	Rt	Rt	5	18	2	4	24	301	2	0	0	1	0	8	1	4	0	3	7	0
Bat16	Blackbeard	M2U02397	rt_rra_rt	rt_rra_rt	Rt	Rt	6	0	0	0	0	21	0	0	0	0	0	0	1	0	0	0	0	0
Bat17	Boba_Bat	M2U02412	rt_rra_rt	rt_rra_rt	Rt	Rt	6	4	0	2	6	56	2	0	0	0	0	0	1	2	0	2	4	0
Bat18	Duke	M2U02420	rt_rra_rt	rt_rra_rt	Rt	Rt	1	14	3	13	30	152	0	0	0	0	0	5	1	0	2	7	9	0
Bat19	Sir_Frances_Drake	M2U02440	rt_rra_rt	rt_rra_rt	Rt	Rt	10	10	2	4	16	193	1	0	0	0	0	0	1	2	1	4	7	1
Bat2	Jesper	M2U02193	rt_rra_rt	rt_rra_rt	Rt	Rt	10	12	0	17	29	247	13	1	0	0	0	10	1	5	0	0	5	0
Bat9	Florecito	M2U02281	rt_rra_rt	rt_rra_rt	Rt	Rt	2	22	16	9	47	329	8	0	0	1	0	0	1	4	2	4	10	4
